Date,MSFT,AAPL,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,CMCSA,ADBE,INTC,CSCO,NFLX,PEP,AVGO,TMUS,TXN,COST,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,AMD,BKNG,MU,LRCX,MDLZ,ADP,GILD,FISV,CSX,ATVI,MELI,ADSK,ADI,ILMN,NXPI,BIDU
28-01-2019,101.9925079,38.04541016,1637.890015,1070.079956,147.4700012,59.27600098,1079.859985,137.1678467,33.77545929,241.8500061,43.92850876,42.69295502,335.6600037,101.1393738,242.6563721,67.62000275,95.91011047,200.8518829,178.680191,290.8599854,63.81332016,37.36136627,207.6620941,496.730011,20.18000031,1813.599976,38.08000183,159.2302551,41.09064484,128.3496857,61.49380875,85.20999908,63.50520325,45.84260559,355,140.7700043,92.65964508,287.6799927,83.0655365,167.5
29-01-2019,99.91538239,37.65107727,1593.880005,1060.619995,144.1900024,59.49200058,1070.060059,130.7969513,34.45346069,238.2700043,43.7686348,42.88892365,328.8999939,101.3066788,241.4776611,67.77999878,94.66777802,200.4135437,178.8291321,289.7799988,63.94687653,36.87865829,204.9857483,494.25,19.25,1808.800049,37.38999939,158.2042694,41.38606262,126.9288559,63.01507568,83.62999725,63.32130051,44.85200119,351.230011,140.1600037,92.34552002,285.2600098,83.14309692,165.2700043
30-01-2019,103.2543182,40.2239418,1670.430054,1089.060059,150.4199982,61.75400162,1097.98999,136.5516205,33.83275986,242.6699982,44.70908737,43.58880615,340.6600037,102.9982147,245.5578766,68.31999969,96.13608551,201.4045563,172.0803223,289.9100037,65.00565338,38.23023224,210.6631622,508.480011,23.09000015,1818.699951,38.24000168,163.8999634,41.74817657,132.0533447,63.2324028,84.66000366,64.17307281,45.42086792,362.019989,146,94.24934387,272.5700073,85.06314087,169.3399963
31-01-2019,101.3615952,40.51361084,1718.72998,1116.369995,166.6900024,61.40399933,1125.890015,142.872818,34.92136765,247.8200073,44.31410217,44.13005447,339.5,104.7176437,243.2276611,69.62000275,94.76191711,204.5302277,174.1747742,331.0499878,64.99611664,37.72821426,212.3555145,523.6400146,24.40999985,1832.810059,38.22000122,162.6054688,44.08286667,132.4606934,63.39539719,82.93000031,63.5923233,46.33301163,364,147.1999969,94.10655212,279.7900085,84.39402771,172.6300049
01-02-2019,99.76009369,40.53308868,1626.22998,1110.75,165.7100067,62.44200134,1118.619995,143.8468323,35.13145065,247.3800049,45.82822418,44.17671204,339.8500061,104.2715378,241.9219666,69.62999725,95.99491119,200.3753815,174.1375427,340.9500122,64.96750641,37.95026398,211.0075226,524.6500244,24.51000023,1836.959961,39.59999847,165.6642914,43.42534256,134.1467285,63.43162155,82.91999817,64.07627869,45.12661743,364.6600037,149.0700073,95.7057724,282.8599854,85.72254944,171.2700043
04-02-2019,102.63311,41.68442154,1633.310059,1132.800049,169.25,62.57799911,1141.420044,148.2696686,35.11234665,254.7400055,46.28905869,44.18603516,351.3399963,105.1079941,246.7366638,69.41000366,95.81608582,201.242569,173.3090668,337,64.46195221,37.55443954,217.3638153,522.4299927,24.12999916,1860.98999,39.47000122,166.0382538,43.93993378,136.0506897,63.43162155,84.08999634,65.25714111,45.88183594,368.0799866,151.5899963,94.90617371,281.0400085,86.01345062,173.9400024
05-02-2019,104.0696182,42.39762497,1658.810059,1145.98999,171.1600037,64.26999664,1151.869995,149.0349731,35.47521973,254.8200073,47.0320015,44.10205078,355.8099976,104.9314194,244.8144073,66.84999847,96.30550385,201.6523438,175.2918396,340.7000122,66.14073944,37.76683044,220.8863525,522.8900146,23.30999947,1902.26001,39.36999893,166.5464783,43.81604767,137.6230621,61.28554153,85.11000061,66.0798645,46.9214859,363.25,152.4199982,95.57250977,281.8699951,87.50679016,176.2299957
06-02-2019,102.9145966,42.41223145,1640.26001,1115.22998,170.4900055,63.44400024,1122.890015,152.0663757,35.49430847,254.3500061,47.226017,44.30735779,352.1900024,105.0708237,250.4451141,66.94000244,100.2209854,201.642807,177.5724487,343.5100098,66.01608276,38.88670731,220.9749146,521.9500122,23.26000023,1906.930054,41.52000046,169.8162079,44.0256958,137.8598785,62.25445557,84.61000061,65.90564728,42.17441177,358.9200134,152.2799988,97.48586273,284.1799927,89.6498642,173.8500061
07-02-2019,102.176918,41.60896683,1614.369995,1098.709961,166.3800049,61.5019989,1105.910034,146.5204315,35.98132324,253.7400055,46.59192276,43.57948303,344.7099915,105.1079941,243.9892883,68.27999878,97.75498199,199.750885,171.4938812,344.5100098,66.29415131,38.53915024,217.4228516,509.3599854,22.67000008,1877.060059,39.38000107,168.4929504,44.31156921,137.9924927,60.92332458,84.01000214,66.02179718,43.11598206,358.2000122,150.5599976,95.7914505,276.519989,87.98196411,171.5800018
08-02-2019,102.5651703,41.6578598,1588.219971,1095.060059,167.3300018,61.15999985,1102.380005,147.2658386,35.90493393,257,46.2228241,44.03672791,347.5700073,105.0429306,248.4956818,68.37999725,98.4044342,198.508728,173.1415253,344.1600037,66.87904358,38.40400314,221.2208862,517.0499878,23.04999924,1871.089966,38.58000183,168.09021,44.69275665,139.0628815,61.09538269,85.69999695,66.54446411,42.5765419,347.8200073,154.3099976,95.88665009,284.1000061,84.85948944,169.8999939
